repo,file,hooks_total,useState,useEffect,useCallback,useMemo,useContext,useReducer,useCustom,props,jsx_depth,jsx_elems,conditionals,map_calls,event_handlers,bool_props,has_children,component,prop_names,comment
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-message/error-message.tsx,7,3,0,0,0,0,0,4,2,3,5,0,0,0,0,0,ErrorMessage,{ errorMessage;errorType }: ErrorMessageProps,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-layout/error-overlay-layout.tsx,2,0,0,0,0,0,0,2,25,9,18,0,0,1,2,1,ErrorOverlayLayout,"{
  errorMessage;errorType;children;errorCode;errorCount;error;debugInfo;isBuildError;onClose;versionInfo;runtimeErrors;activeIdx;setActiveIndex;isTurbopack;dialogResizerRef;generateErrorInfo;// This prop is used to animate the dialog;it comes from a parent component (<ErrorOverlay>",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-nav/error-overlay-nav.tsx,0,0,0,0,0,0,0,0,9,4,20,0,0,0,0,0,ErrorOverlayNav,"{
  runtimeErrors;activeIdx;setActiveIndex;versionInfo;}: ErrorOverlayNavProps",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/dev-tools-indicator/dev-tools-info/route-info.tsx,0,0,0,0,0,0,0,0,7,3,19,0,0,0,0,0,StaticRouteContent,"{
  routerType;...props
}: { routerType: 'pages' | 'app' } & ComponentProps<'div'>",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/dev-tools-indicator/dev-tools-info/user-preferences.tsx,4,0,0,0,0,0,0,4,15,5,67,0,0,0,0,0,UserPreferencesBody,"{
  theme;hide;hideShortcut;setHideShortcut;scale;setPosition;setScale;position;}: {
  theme: 'dark' | 'light' | 'system'
  hide: (",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/dev-tools-indicator/dev-tools-info/shortcut-recorder.tsx,8,5,0,0,0,0,0,3,13,4,17,0,0,1,0,0,ShortcutRecorder,"{
  value;onChange;}: {
  value: string[] | null
  onChange: (value: string | null",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/dev-tools-indicator/dev-tools-info/dev-tools-header.tsx,6,0,0,0,0,0,0,6,5,3,8,0,0,0,0,1,DevToolsHeader,title;children;ref;}: DevToolsHeaderProps & { ref?: React.Ref<HTMLDivElement>,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-pagination/error-overlay-pagination.tsx,12,2,3,4,0,0,0,3,4,3,8,0,0,1,0,0,ErrorOverlayPagination,"{
  runtimeErrors;activeIdx;onActiveIndexChange;}: ErrorPaginationProps",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-footer/error-feedback/error-feedback.tsx,4,2,0,2,0,0,0,0,2,4,9,0,0,0,0,0,ErrorFeedback,{ errorCode;className }: ErrorFeedbackProps,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/errors/error-overlay-bottom-stack/index.tsx,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,ErrorOverlayBottomStack,"errorCount;activeIdx;}: {
  errorCount: number
  activeIdx: number",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/code-frame/code-frame.tsx,4,0,0,0,2,0,0,2,2,6,14,0,0,0,0,0,CodeFrame,{ stackFrame;codeFrame }: CodeFrameProps,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/tooltip/tooltip.tsx,2,0,0,0,0,0,0,2,1,6,8,0,0,0,0,1,Tooltip,"{
      className;children;title;direction;arrowSize;offset;};ref",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/tooltip/tooltip.stories.tsx,0,0,0,0,0,0,0,0,4,4,31,0,0,0,0,0,,,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/hydration-diff/diff-view.tsx,4,2,0,0,2,0,0,0,2,5,16,0,0,0,0,0,PseudoHtmlDiff,"reactOutputComponentDiff;}: {
  reactOutputComponentDiff: string",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/overview/segment-explorer.tsx,8,0,0,2,4,0,0,2,22,8,36,0,0,0,0,0,traverseTreeAndResetBoundaries,node: SegmentTrieNode,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/overview/segment-suggestion.tsx,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,SegmentSuggestion,"possibleExtension;missingGlobalError;}: {
  possibleExtension: string
  missingGlobalError: boolean",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/overview/segment-boundary-trigger.tsx,15,2,0,3,3,0,0,7,11,6,36,0,0,0,0,0,SegmentBoundaryTrigger,"nodeState;boundaries;}: {
  nodeState: SegmentNodeState
  boundaries: Record<SegmentBoundaryType;string | null>",
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/components/hot-linked-text/index.tsx,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,HotlinkedText,props,
/tmp/repo-clones-_1twn2rm/next.js,/tmp/repo-clones-_1twn2rm/next.js/packages/next/src/next-devtools/dev-overlay/panel/dynamic-panel.tsx,17,2,2,0,0,0,0,13,23,8,20,0,0,0,0,0,resolveCSSValue,value: string | number;dimension: 'width' | 'height',
